,MM_id,Brand,laptop_name,display_info,processor_info,RAM,HDD,grapic_Card,colour,laptop,MM_Artkl_number,Nr_of_reviews,Processor,O_S,Screen_size_(cm / inch),Screen_resolution,Memory _Type,Processor_Brand,Processor_Model,Graphics_card_manufacturer,Connections,WLAN_standards,Bluetooth_version,Dimensions_(B / H / T) / Weight,price
291,M_291,APPLE,APPLE MacBook Pro mit internationaler englischer Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 16 GB RAM, 1 TB SSD, Iris Plus Graphics 640, Silber,"APPLE MacBook Pro mit internationaler englischer Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 16 GB RAM, 1 TB SSD, Iris Plus Graphics 640, Silber",2298319,0,2.3 GHz dual-core Intel Core i5 processor (Turbo Boost up to 3.6 GHz),macOS Sierra,33.78 cm / 13.3 inches,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i5,Intel,"2x Thunderbolt 3 (USB-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"2 7 3 9 , -"
292,M_292,HP,HP 725 G3, Notebook mit 12.5 Zoll Display, A10 Prozessor, 4 GB RAM, 500 GB HDD, Radeon R6, Silber,"HP 725 G3, Notebook mit 12.5 Zoll Display, A10 Prozessor, 4 GB RAM, 500 GB HDD, Radeon R6, Silber",2302102,0,AMD A10 PRO-8700B,Windows 7 Professional,31.75 cm / 12.5 inches,"1,366 x 768 pixels",DDR3L,AMD,A10,AMD,nein,null,null,null,"1 1 7 9 , -"
293,M_293,APPLE,APPLE MacBook Pro MR942D/A-140100 mit internationaler Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor,null, 4 TB SSD, Radeon Pro 560X, Space Grau,"APPLE MacBook Pro MR942D/A-140100 mit internationaler Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 4 TB SSD, Radeon Pro 560X, Space Grau",2458076,0,"2,9 GHz 6-Core Intel Core i9 Prozessor der 8. Generation (Turbo Boost bis zu 4,8 GHz)",Radeon Pro 560X,39.11 cm / 15.4 Zoll,2.880 x 1.800 Pixel,DDR4,Intel,Core i9,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"7479,-"
294,M_294,APPLE,APPLE MacBook Pro MR932D/A-139837 mit französischer Tastatur, Notebook mit 15.4 Zoll Display, Core i7 Prozessor, 16 GB RAM, 4 TB SSD, Radeon Pro 555X, Space Grau,"APPLE MacBook Pro MR932D/A-139837 mit französischer Tastatur, Notebook mit 15.4 Zoll Display, Core i7 Prozessor, 16 GB RAM, 4 TB SSD, Radeon Pro 555X, Space Grau",2458405,0,2.2 GHz 6-Core Intel Core i7 processor of the 8th generation (Turbo Boost up to 4.1 GHz),"SSD, 4 TB",39.11 cm / 15.4 Zoll,2.880 x 1.800 Pixel,DDR4,Intel,Core i7,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"6 8 7 9 , -"
295,M_295,APPLE,APPLE MacBook Pro MR9Q2D/A-139415 mit US-Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor,null, 256 GB SSD, Iris Plus Graphics 655, Space Grau,"APPLE MacBook Pro MR9Q2D/A-139415 mit US-Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 256 GB SSD, Iris Plus Graphics 655, Space Grau",2458724,0,2.3 GHz quad-core Intel Core i5 processor of the 8th generation (Turbo Boost up to 3.8 ...,Iris Plus Graphics 655,33.78 cm / 13.3 Zoll,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i5,Intel,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhörer Anschluss",802.11ac,5,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"2 2 3 9 , -"
296,M_296,TREKSTOR,TREKSTOR Primebook P14B, Notebook mit 14.1 Zoll Display, Pentium® Prozessor, 4 GB RAM, 64 GB eMMC, HD Grafik 505, Silber,"TREKSTOR Primebook P14B, Notebook mit 14.1 Zoll Display, Pentium® Prozessor, 4 GB RAM, 64 GB eMMC, HD Grafik 505, Silber",2368921,0,"Intel® Pentium® N4200 processor (up to 2.50 GHz, 2 MB Intel® Cache)","eMMC, 64 GB",35.8 cm / 14.1 Zoll,1.920 x 1.080 Pixel,4 GB,Intel®,Pentium®,Intel®,"1x USB-Type-C? 3.1 Gen 1, 1x Micro-HDMI®, 2x USB 3.1 Gen 1, 1x M.2 SSD extension slot, 1x Audio Out/Mic In (3.5 mm Klinke)",IEEE 802.11ac/b/g/n: 2.4 GHz/5 GHz,4.2,332 mm x 14.7 mm x 220 mm / 1380 g,"3 4 9 , -"
297,M_297,APPLE,APPLE MacBook Pro MR9U2D/A-139546 mit britischer Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor,null, 1 TB SSD, Iris Plus Graphics 655, Silber,"APPLE MacBook Pro MR9U2D/A-139546 mit britischer Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 1 TB SSD, Iris Plus Graphics 655, Silber",2458271,0,2.7 GHz quad-core Intel Core i7 processor of the 8th generation (Turbo Boost up to 4.5 ...,Iris Plus Graphics 655,33.78 cm / 13.3 inches,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i7,Intel,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhörer Anschluss",802.11ac,5,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"3 3 4 9 , -"
298,M_298,APPLE,APPLE MacBook Air mit spanischer Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 8 GB RAM, 512 GB SSD, HD Graphics 6000, Silber,"APPLE MacBook Air mit spanischer Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 8 GB RAM, 512 GB SSD, HD Graphics 6000, Silber",2294095,0,2.2GHz Intel Dual-Core Core i7 processor (Turbo Boost up to 3.2GHz),macOS Sierra,33.78 cm / 13.3 inches,"1,440 x 900 pixels",LPDDR3,Intel,Core i7,Intel,"2x USB 3.0, 1x Thunderbolt 2, 1x MagSafe 2, 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4,325 mm x 17 mm x 227 mm / 1.35 kg,"1 7 7 9 , -"
299,M_299,APPLE,APPLE MacBook Pro MR9U2D/A-139477 mit französischer Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor,null, 256 GB SSD, Iris Plus Graphics 655, Silber,"APPLE MacBook Pro MR9U2D/A-139477 mit französischer Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 256 GB SSD, Iris Plus Graphics 655, Silber",2458383,0,2.3 GHz quad-core Intel Core i5 processor of the 8th generation (Turbo Boost up to 3.8 ...,Iris Plus Graphics 655,33.78 cm / 13.3 inches,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i5,Intel,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhörer Anschluss",802.11ac,5,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"1 9 9 9 , -"
300,M_300,APPLE,APPLE MacBook Pro mit internationaler englischer Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 16 GB RAM, 512 GB SSD, Iris Plus Graphics 640, Space Grey,"APPLE MacBook Pro mit internationaler englischer Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 16 GB RAM, 512 GB SSD, Iris Plus Graphics 640, Space Grey",2294164,0,2.3 GHz dual-core Intel Core i5 processor (Turbo Boost up to 3.6 GHz),macOS Sierra,33.78 cm / 13.3 Zoll,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i5,Intel,"2x Thunderbolt 3 (USB-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"2 2 3 9 , -"
301,M_301,APPLE,APPLE MacBook Pro MR9Q2D/A-139411 mit britischer Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor,null, 2 TB SSD, Iris Plus Graphics 655, Space Grau,"APPLE MacBook Pro MR9Q2D/A-139411 mit britischer Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 2 TB SSD, Iris Plus Graphics 655, Space Grau",2458720,0,2.3 GHz quad-core Intel Core i5 processor of the 8th generation (Turbo Boost up to 3.8 ...,Iris Plus Graphics 655,33.78 cm / 13.3 Zoll,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i5,Intel,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhörer Anschluss",802.11ac,5,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"3 7 4 9 , -"
302,M_302,APPLE,APPLE MacBook Pro mit deutscher Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 16 GB RAM, 1 TB SSD, Iris Plus Graphics 640, Space Grey,"APPLE MacBook Pro mit deutscher Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 16 GB RAM, 1 TB SSD, Iris Plus Graphics 640, Space Grey",2298224,0,2.3 GHz dual-core Intel Core i5 processor (Turbo Boost up to 3.6 GHz),macOS Sierra,33.78 cm / 13.3 inches,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i5,Intel,"2x Thunderbolt 3 (USB-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"2 7 3 9 , -"
303,M_303,APPLE,APPLE MacBook Air mit russischer Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 8 GB RAM, 256 GB SSD, HD Graphics 6000, Silber,"APPLE MacBook Air mit russischer Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 8 GB RAM, 256 GB SSD, HD Graphics 6000, Silber",2294079,0,2.2GHz Intel Dual-Core Core i7 processor (Turbo Boost up to 3.2GHz),OS Sierra,33.78 cm / 13.3 inches,"1,440 x 900 pixels",LPDDR3,Intel,Core i7,Intel,"2x USB 3.0, 1x Thunderbolt 2, 1x MagSafe 2, 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4,325 mm x 17 mm x 227 mm / 1.35 kg,"1 5 2 9 , -"
304,M_304,APPLE,APPLE MacBook mit US-Tastatur, Notebook mit 12 Zoll Display, Core i5 Prozessor, 8 GB RAM, 512 GB Flash, HD Graphics 615, Silber,"APPLE MacBook mit US-Tastatur, Notebook mit 12 Zoll Display, Core i5 Prozessor, 8 GB RAM, 512 GB Flash, HD Graphics 615, Silber",2295446,0,"1,3 GHz Intel Dual-Core Core i5 Prozessor (Turbo Boost bis zu 3,2 GHz)",macOS Sierra,30.5 cm / 12 Zoll,2.304 x 1.440 Pixel,LPDDR3,Intel,Core i5,Intel,"1x USB 3.1 (Typ-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,280.5 mm x 13.1 mm x 196.5 mm / 920 g,"1799,-"
305,M_305,APPLE,APPLE MacBook Pro MR9R2D/A-139578 mit US-Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor,null, 1 TB SSD, Iris Plus Graphics 655, Space Grau,"APPLE MacBook Pro MR9R2D/A-139578 mit US-Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 1 TB SSD, Iris Plus Graphics 655, Space Grau",2458464,0,2.3 GHz quad-core Intel Core i5 processor of the 8th generation (Turbo Boost up to ...,Iris Plus Graphics 655,33.78 cm / 13.3 inches,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i5,Intel,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhörer Anschluss",802.11ac,5,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"2 7 4 9 , -"
306,M_306,APPLE,APPLE MacBook Pro MR972D/A-140160 mit deutscher Tastatur, Notebook mit 15.4 Zoll Display, Core i7 Prozessor,null, 4 TB SSD, Radeon Pro 560X, Silber,"APPLE MacBook Pro MR972D/A-140160 mit deutscher Tastatur, Notebook mit 15.4 Zoll Display, Core i7 Prozessor, 4 TB SSD, Radeon Pro 560X, Silber",2458603,0,2.6 GHz 6-Core Intel Core i7 processor of the 8th generation (Turbo Boost up to 4.3 GHz),Radeon Pro 560X,39.11 cm / 15.4 inches,2.880 x 1.800 Pixel,DDR4,Intel,Core i7,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"7 6 1 9 , -"
307,M_307,APPLE,APPLE MacBook Pro MR932D/A-139862 mit französischer Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 32 GB RAM, 4 TB SSD, Radeon Pro 555X, Space Grau,"APPLE MacBook Pro MR932D/A-139862 mit französischer Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 32 GB RAM, 4 TB SSD, Radeon Pro 555X, Space Grau",2458022,0,"2,9 GHz 6-Core Intel Core i9 Prozessor der 8. Generation (Turbo Boost bis zu 4,8 GHz)","SSD , 4 TB",39.11 cm / 15.4 Zoll,2.880 x 1.800 Pixel,DDR4,Intel,Core i9,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"7839,-"
308,M_308,APPLE,APPLE MacBook mit deutscher Tastatur, Notebook mit 12 Zoll Display, Core m3 Prozessor, 16 GB RAM, 256 GB Flash, HD Graphics 615, Roségold,"APPLE MacBook mit deutscher Tastatur, Notebook mit 12 Zoll Display, Core m3 Prozessor, 16 GB RAM, 256 GB Flash, HD Graphics 615, Roségold",2295522,0,"1,2 GHz Intel Dual-Core Core m3 Prozessor (Turbo Boost bis zu 3,0 GHz)",OS Sierra,30.5 cm / 12 Zoll,2.304 x 1.440 Pixel,LPDDR3,Intel,Core m3,Intel,"1x USB 3.1 (Typ-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,280.5 mm x 13.1 mm x 196.5 mm / 920 g,"1739,-"
309,M_309,APPLE,APPLE MacBook Pro MR962D/A-139997 mit britischer Tastatur, Notebook mit 15.4 Zoll Display, Core i7 Prozessor,null, 4 TB SSD, Radeon Pro 555X, Silber,"APPLE MacBook Pro MR962D/A-139997 mit britischer Tastatur, Notebook mit 15.4 Zoll Display, Core i7 Prozessor, 4 TB SSD, Radeon Pro 555X, Silber",2458333,0,2.2 GHz 6-Core Intel Core i7 processor of the 8th generation (Turbo Boost up to 4.1 GHz),Radeon Pro 555X,39.11 cm / 15.4 inches,2.880 x 1.800 Pixel,DDR4,Intel,Core i7,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"6 8 7 9 , -"
310,M_310,XMG,XMG NEO 15 (M18bhw), Gaming Notebook mit 15.6 Zoll Display, Core? i7 Prozessor, 16 GB RAM, 512 GB SSD, GeForce GTX 1060, Schwarz,"XMG NEO 15 (M18bhw), Gaming Notebook mit 15.6 Zoll Display, Core? i7 Prozessor, 16 GB RAM, 512 GB SSD, GeForce GTX 1060, Schwarz",2432869,0,Intel® Core ? i7-8750H processor (up to 4.10 GHz with Intel® Turbo Boost technology),Windows 10 Home (64 bit),39.6 cm / 15.6 Zoll,1.920 x 1.080 Pixel,DDR4,Intel®,Core? i7,NVIDIA,ja,null,10/100/1000 MBit/s (Gigabit Ethernet),359 mm x 22 mm x 243 mm / 2 kg,"1 7 4 9 , -"
311,M_311,APPLE,APPLE MacBook Pro MR932D/A-139794 mit britischer Tastatur, Notebook mit 15.4 Zoll Display, Core i7 Prozessor, 16 GB RAM, 512 GB SSD, Radeon Pro 555X, Space Grau,"APPLE MacBook Pro MR932D/A-139794 mit britischer Tastatur, Notebook mit 15.4 Zoll Display, Core i7 Prozessor, 16 GB RAM, 512 GB SSD, Radeon Pro 555X, Space Grau",2458488,0,2.2 GHz 6-Core Intel Core i7 processor of the 8th generation (Turbo Boost up to 4.1 GHz),"SSD, 512 GB",39.11 cm / 15.4 Zoll,2.880 x 1.800 Pixel,DDR4,Intel,Core i7,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"3 0 3 9 , -"
312,M_312,APPLE,APPLE MacBook Pro mit US-Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 8 GB RAM, 512 GB SSD, Iris Plus Graphics 640, Silber,"APPLE MacBook Pro mit US-Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 8 GB RAM, 512 GB SSD, Iris Plus Graphics 640, Silber",2298070,0,"2,5 GHz Dual-Core Intel Core i7 Prozessor (Turbo Boost bis zu 4,0 GHz)",macOS Sierra,33.78 cm / 13.3 Zoll,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i7,Intel,"2x Thunderbolt 3 (USB-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"2359,-"
313,M_313,HP,HP Omen 17-an034ng, Gaming Notebook mit 17.3 Zoll Display, Core? i7 Prozessor, 16 GB RAM, 1 TB HDD, GeForce GTX 1070, Schwarz,"HP Omen 17-an034ng, Gaming Notebook mit 17.3 Zoll Display, Core? i7 Prozessor, 16 GB RAM, 256 GB SSD, 1 TB HDD, GeForce GTX 1070, Schwarz",2276882,2,Intel® Core ? i7-7700HQ processor (up to 3.80 GHz with Intel® Turbo Boost technology ...,Windows 10 Home (64 bit),43.9 cm / 17.3 inches,"1,920 x 1,080 pixels",16 GB,Intel®,Core? i7,NVIDIA,DVD Brenner,null,null,null,"1 9 9 9 , -"
314,M_314,APPLE,APPLE MacBook Pro MR9V2D/A-139635 mit internationaler Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor,null, 1 TB SSD, IrisPlus Graphics 655, Silber,"APPLE MacBook Pro MR9V2D/A-139635 mit internationaler Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 1 TB SSD, IrisPlus Graphics 655, Silber",2458209,0,2.7 GHz quad-core Intel Core i7 processor of the 8th generation (Turbo Boost up to ...,IrisPlus Graphics 655,33.78 cm / 13.3 Zoll,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i7,Intel,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhörer Anschluss",802.11ac,5,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"3 3 4 9 , -"
315,M_315,APPLE,APPLE MacBook Pro MR972D/A-140166 mit deutscher Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor,null, 1 TB SSD, Radeon Pro 560X, Silber,"APPLE MacBook Pro MR972D/A-140166 mit deutscher Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 1 TB SSD, Radeon Pro 560X, Silber",2458609,0,2.9GHz 6-Core Intel Core i9 8th Generation Processor (Turbo Boost up to 4.8GHz),Radeon Pro 560X,39.11 cm / 15.4 inches,2.880 x 1.800 Pixel,DDR4,Intel,Core i9,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"4 5 9 9 , -"
316,M_316,ASUS,ASUS VivoBook S15 (S530UF-BQ014T), Notebook mit 15.6 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 1 TB HDD, GeForce MX 130, Gun Metal,"ASUS VivoBook S15 (S530UF-BQ014T), Notebook mit 15.6 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 256 GB SSD, 1 TB HDD, GeForce MX 130, Gun Metal",2469879,0,Intel® Core ? i5-8250U processor (up to 3.40 GHz with Intel® Turbo Boost technology ...,Windows® 10 Home Edition (64-bit),39.6 cm / 15.6 inches,"1,920 × 1,080 pixels",DDR4,Intel®,Core? i5,NVIDIA,"1x USB 3.1 Typ-C, 1x USB 3.0, 2x USB 2.0, 1x HDMI 1.4, 1x Audio Combo",802.11 b/g/n/ac,4.2,361 mm x 18 mm x 243 mm / 1.8 kg,"899,-"
317,M_317,HP,HP 440 G4, Notebook mit 14 Zoll Display, Core? i5 Prozessor, 4 GB RAM, 500 GB HDD, HD Graphics 620, Schwarz/Silber,"HP 440 G4, Notebook mit 14 Zoll Display, Core? i5 Prozessor, 4 GB RAM, 500 GB HDD, HD Graphics 620, Schwarz/Silber",2301937,0,Intel® Core ? i5-7200U processor (up to 3.10 GHz with Intel® Turbo Boost technology ...,Windows 10 Home,35.56 cm / 14 inches,"1,920 x 1,080 pixels",DDR4,Intel®,Core? i5,32 GB,nein,null,null,null,"9 4 9 , -"
318,M_318,APPLE,APPLE MacBook Pro MR932D/A-139786 mit US-Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 16 GB RAM, 2 TB SSD, Radeon Pro 560X, Space Grau,"APPLE MacBook Pro MR932D/A-139786 mit US-Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 16 GB RAM, 2 TB SSD, Radeon Pro 560X, Space Grau",2458473,0,2.9GHz 6-Core Intel Core i9 8th Generation Processor (Turbo Boost up to 4.8GHz),"SSD, 2 TB",39.11 cm / 15.4 inches,2.880 x 1.800 Pixel,DDR4,Intel,Core i9,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"5 0 7 9 , -"
319,M_319,HP,HP ZBook 17 G4, Notebook mit 17.3 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 256 GB SSD, HD Grafik 630, Schwarz,"HP ZBook 17 G4, Notebook mit 17.3 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 256 GB SSD, HD Grafik 630, Schwarz",2302160,0,Intel® Core ? i7-7700HQ processor (up to 3.80 GHz with Intel® Turbo Boost technology ...,Windows 10 Professional,43.94 cm / 17.3 inches,"1,920 x 1,080 pixels",DDR4,Intel®,Core ? i7,64 GB,nein,null,null,null,"2 1 1 9 , -"
320,M_320,APPLE,APPLE MacBook Pro MR962D/A-139892 mit deutscher Tastatur, Notebook mit 15.4 Zoll Display, Core i7 Prozessor,null, 4 TB SSD, Radeon Pro 560X, Silber,"APPLE MacBook Pro MR962D/A-139892 mit deutscher Tastatur, Notebook mit 15.4 Zoll Display, Core i7 Prozessor, 4 TB SSD, Radeon Pro 560X, Silber",2458155,0,"2,2 GHz 6-Core Intel Core i7 Prozessor der 8. Generation (Turbo Boost bis zu 4,1 GHz)",Radeon Pro 560X,39.11 cm / 15.4 Zoll,2.880 x 1.800 Pixel,DDR4,Intel,Core i7,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"7479,-"
321,M_321,APPLE,APPLE MacBook Pro mit deutscher Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 8 GB RAM, 256 GB SSD, Iris Plus Graphics 640, Silber,"APPLE MacBook Pro mit deutscher Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 8 GB RAM, 256 GB SSD, Iris Plus Graphics 640, Silber",2298278,0,2.5 GHz dual-core Intel Core i7 processor (Turbo Boost up to 4.0 GHz),macOS Sierra,33.78 cm / 13.3 inches,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i7,Intel,"2x Thunderbolt 3 (USB-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"2 0 9 9 , -"
322,M_322,APPLE,APPLE MQD42D, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 8 GB RAM, 256 GB SSD, HD Grafik 6000, Silber,"APPLE MQD42D, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 8 GB RAM, 256 GB SSD, HD Grafik 6000, Silber",2294153,0,2.2GHz Intel Dual-Core Core i7 processor (Turbo Boost up to 3.2GHz),OS Sierra,33.78 cm / 13.3 inches,"1,440 x 900 pixels",LPDDR3,Intel,Core i7,Intel,"2x USB 3.0, 1x Thunderbolt 2, 1x MagSafe 2, 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4,325 mm x 17 mm x 227 mm / 1.35 kg,"1 5 2 9 , -"
323,M_323,DELL,DELL XPS 15 9570 I7, Gaming Notebook mit 15.6 Zoll Display, Core? i7 Prozessor, 32 GB RAM, 1 TB SSD, GeForce® GTX 1050 Ti, Silver,"DELL XPS 15 9570 I7, Gaming Notebook mit 15.6 Zoll Display, Core? i7 Prozessor, 32 GB RAM, 1 TB SSD, GeForce® GTX 1050 Ti, Silver",2437371,0,Intel® Core ? i7-8750H processor (up to 4.10 GHz with Intel® Turbo Boost technology),Windows 10 Home (64 bit),39.62 cm / 15.6 Zoll,3.840 x 2.160 Pixel,DDR4,Intel®,Core? i7,NVIDIA®,nein,null,null,null,"2 5 6 9 , -"
